system:index,area,histogram,site_code,.geo
2015.0_00000000000000000000,6.860124567052346E7,{null=687708.0},Llandia,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015.0_00000000000000000001,1.0933858569889357E7,{null=109675.0},mining_shed,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015.0_00000000000000000002,8.186975093333975E8,"{null=8150248.0, 1=52638.0, 2=151.0, 7=463.0, 6=138.0, 5=107.0, 0=3561.0}",rio_azul,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015.0_00000000000000000003,1.6883271846844034E9,"{null=1.6544027E7, 1=350473.0, 2=1901.0, 7=617.0, 6=17669.0, 4=1505.0, 5=1005.0, 8=2706.0, 0=2946.0}",rio_misahualli,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015.0_00000000000000000004,3.231897661181557E9,"{null=3.1069523E7, 1=1198582.0, 3=175.0, 2=7374.0, 7=5497.0, 6=26922.0, 4=46714.0, 5=10983.0, 8=14555.0, 0=14774.0}",rio_nago_above_azul,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015.0_00000000000000000005,5.919099660911393E9,"{null=5.6586051E7, 1=2379122.0, 3=240.0, 2=12602.0, 7=15788.0, 6=70844.0, 4=174715.0, 5=15578.0, 8=20299.0, 0=56598.0}",rio_napo_below_misahualli,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015.0_00000000000000000006,1.3545183661914322E8,"{null=1221892.0, 1=119161.0, 2=557.0, 7=115.0, 6=12858.0, 4=789.0, 5=136.0, 8=949.0, 0=1476.0}",rio_tena,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016.0_00000000000000000000,6.860124567052346E7,"{null=323344.0, 1=81920.0, 2=8151.0, 6=14511.0, 4=255941.0, 5=3382.0, 8=456.0, 0=3.0}",Llandia,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016.0_00000000000000000001,1.0933858569889357E7,"{null=87469.0, 1=16967.0, 2=793.0, 4=4346.0, 5=100.0}",mining_shed,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016.0_00000000000000000002,8.186975093333975E8,"{null=6061091.0, 1=1332972.0, 2=11531.0, 7=105.0, 6=55172.0, 4=731706.0, 5=10969.0, 8=1776.0, 0=1984.0}",rio_azul,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016.0_00000000000000000003,1.6883271846844034E9,"{null=1.0472588E7, 1=6127836.0, 3=163.0, 2=17263.0, 7=1346.0, 6=200877.0, 4=46275.0, 5=14247.0, 8=4247.0, 0=38007.0}",rio_misahualli,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016.0_00000000000000000004,3.231897661181557E9,"{null=2.5155589E7, 1=6341291.0, 3=4667.0, 2=370761.0, 7=35240.0, 6=24045.0, 4=26715.0, 5=332854.0, 8=51533.0, 0=52404.0}",rio_nago_above_azul,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016.0_00000000000000000005,5.919099660911393E9,"{null=4.1862248E7, 1=1.5304329E7, 3=4830.0, 2=405182.0, 7=41619.0, 6=327855.0, 4=809776.0, 5=364087.0, 8=57570.0, 0=154341.0}",rio_napo_below_misahualli,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016.0_00000000000000000006,1.3545183661914322E8,"{null=332234.0, 1=974674.0, 3=160.0, 2=3087.0, 7=82.0, 6=38830.0, 4=534.0, 5=2745.0, 8=396.0, 0=5191.0}",rio_tena,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017.0_00000000000000000000,6.860124567052346E7,"{1=667726.0, 2=1043.0, 7=52.0, 6=13296.0, 4=566.0, 5=1213.0, 0=3812.0}",Llandia,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017.0_00000000000000000001,1.0933858569889357E7,"{1=105264.0, 2=508.0, 7=1048.0, 6=3.0, 4=103.0, 5=2573.0, 0=176.0}",mining_shed,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017.0_00000000000000000002,8.186975093333975E8,"{null=848418.0, 1=7189736.0, 3=84.0, 2=23543.0, 7=6511.0, 6=49118.0, 4=4766.0, 5=13804.0, 8=8588.0, 0=62738.0}",rio_azul,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017.0_00000000000000000003,1.6883271846844034E9,"{null=1581769.0, 1=1.5024817E7, 3=257.0, 2=19695.0, 7=1860.0, 6=218938.0, 4=7289.0, 5=13467.0, 8=7880.0, 0=46877.0}",rio_misahualli,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017.0_00000000000000000004,3.231897661181557E9,"{null=3660307.0, 1=1.890227E7, 2=3743452.0, 7=94628.0, 6=26139.0, 4=5672.0, 5=5725649.0, 8=102105.0, 0=134877.0}",rio_nago_above_azul,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017.0_00000000000000000005,5.919099660911393E9,"{null=6119140.0, 1=4.2763566E7, 3=382.0, 2=3790419.0, 7=107452.0, 6=348000.0, 4=20621.0, 5=5756297.0, 8=118900.0, 0=307060.0}",rio_napo_below_misahualli,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017.0_00000000000000000006,1.3545183661914322E8,"{null=8406.0, 1=1297866.0, 3=257.0, 2=2032.0, 7=467.0, 6=40221.0, 4=701.0, 5=762.0, 8=1835.0, 0=5386.0}",rio_tena,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018.0_00000000000000000000,6.860124567052346E7,"{1=666557.0, 2=2298.0, 7=26.0, 6=13705.0, 4=744.0, 5=724.0, 0=3654.0}",Llandia,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018.0_00000000000000000001,1.0933858569889357E7,"{1=103313.0, 3=25.0, 2=723.0, 7=2023.0, 4=230.0, 5=2750.0, 0=611.0}",mining_shed,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018.0_00000000000000000002,8.186975093333975E8,"{null=1533650.0, 1=6467254.0, 3=107.0, 2=37168.0, 7=6619.0, 6=52570.0, 4=12672.0, 5=23354.0, 8=8154.0, 0=65758.0}",rio_azul,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018.0_00000000000000000003,1.6883271846844034E9,"{null=6218280.0, 1=1.0299933E7, 3=225.0, 2=29860.0, 7=4526.0, 6=248974.0, 4=20583.0, 5=30285.0, 8=20969.0, 0=49214.0}",rio_misahualli,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018.0_00000000000000000004,3.231897661181557E9,"{null=1.4155269E7, 1=9018286.0, 2=3976452.0, 7=76607.0, 6=24422.0, 4=15551.0, 5=4938113.0, 8=76855.0, 0=113544.0}",rio_nago_above_azul,"{""type"":""MultiPoint"",""coordinates"":[]}"
